Year, Market,  Pool, AmountEmittedOrRetained
1, 300, 204, 3.7361014452937
2, 300, 204, 4.36513993675809
3, 300, 204, 5.33537870408349
4, 300, 204, 5.30982334929226
5, 300, 204, 6.51946575246141
6, 300, 204, 6.48793443588094
7, 300, 204, 6.45273796124106
8, 300, 204, 6.40371011399019
9, 300, 204, 8.06304486214648
10, 300, 204, 8.05728308175433
11, 300, 204, 7.99546717297644
12, 300, 204, 7.93412551917249
13, 300, 204, 7.87325448183285
14, 300, 204, 7.8128504503627
15, 300, 204, 7.75290984186794
16, 300, 204, 7.69342910094257
17, 300, 204, 7.6344046994579
18, 300, 204, 7.57583313635323
19, 300, 204, 7.51771093742815
1, 300, 205, 0.298428084558831
2, 300, 205, 0.348217910481595
3, 300, 205, 0.425189197307162
4, 300, 205, 0.422506060524381
5, 300, 205, 0.518495675250464
6, 300, 205, 0.515202466762705
7, 300, 205, 0.511627469414656
8, 300, 205, 0.506958984025406
9, 300, 205, 0.638762055320071
10, 300, 205, 0.637366795326416
11, 300, 205, 0.631503411684307
12, 300, 205, 0.625693967575896
13, 300, 205, 0.619937966790552
14, 300, 205, 0.614234917682478
15, 300, 205, 0.608584333128717
16, 300, 205, 0.602985730487544
17, 300, 205, 0.597438631557241
18, 300, 205, 0.591942562535253
19, 300, 205, 0.58649705397772
1, 300, 206, 1.47877325400896
2, 300, 206, 1.71236664901444
3, 300, 206, 2.07869721675971
4, 300, 206, 2.04721071103916
5, 300, 206, 2.50511503972554
6, 300, 206, 2.46715121012818
7, 300, 206, 2.42832714749702
8, 300, 206, 2.38462341720942
9, 300, 206, 3.01774179477407
10, 300, 206, 2.98539910950586
11, 300, 206, 2.93143694479886
12, 300, 206, 2.87845016566445
13, 300, 206, 2.82642114165694
14, 300, 206, 2.77533256100726
15, 300, 206, 2.72516742486284
16, 300, 206, 2.67590904163148
17, 300, 206, 2.62754102142751
18, 300, 206, 2.58004727061838
19, 300, 206, 2.53341198646971
1, 300, 207, 3.67899421164036
2, 300, 207, 4.2426147917149
3, 300, 207, 5.13409945554039
4, 300, 207, 5.03197936337096
5, 300, 207, 6.14831608718702
6, 300, 207, 6.02609215987938
7, 300, 207, 5.90281248341483
8, 300, 207, 5.76846266020771
9, 300, 207, 7.31906084744178
10, 300, 207, 7.20713412284806
11, 300, 207, 7.04252295198359
12, 300, 207, 6.88167150545773
13, 300, 207, 6.72449391104793
14, 300, 207, 6.57090625785587
15, 300, 207, 6.42082655151084
16, 300, 207, 6.27417467039609
17, 300, 207, 6.13087232287519
18, 300, 207, 5.99084300549512
19, 300, 207, 5.85401196214413
1, 300, 208, 1.19371233823532
2, 300, 208, 1.39287164192638
3, 300, 208, 1.70075678922865
4, 300, 208, 1.69002424209752
5, 300, 208, 2.07398270100186
6, 300, 208, 2.06080986705082
