Type, YearCreated, YearReported,  Market, FromPool, To_Gas/Pool, AmountEmitted, AmountRetained
5, 1, 1, 300, 204, 2006, 0.028885179706299,   0
5, 1, 1, 300, 204, 204,   0, 3.7361014452937
5, 1, 2, 300, 204, 2006, 0.0286635710553878,   0
5, 1, 2, 300, 204, 204,   0, 3.70743787423831
5, 1, 3, 300, 204, 2006, 0.0284436625979554,   0
5, 1, 3, 300, 204, 204,   0, 3.67899421164036
5, 1, 4, 300, 204, 2006, 0.0282254412900245,   0
5, 1, 4, 300, 204, 204,   0, 3.65076877035033
5, 1, 5, 300, 204, 2006, 0.0280088941876953,   0
5, 1, 5, 300, 204, 204,   0, 3.62275987616264
5, 1, 6, 300, 204, 2006, 0.0277940084463721,   0
5, 1, 6, 300, 204, 204,   0, 3.59496586771627
5, 1, 7, 300, 204, 2006, 0.0275807713200034,   0
5, 1, 7, 300, 204, 204,   0, 3.56738509639626
5, 1, 8, 300, 204, 2006, 0.0273691701603269,   0
5, 1, 8, 300, 204, 204,   0, 3.54001592623594
5, 1, 9, 300, 204, 2006, 0.0271591924161179,   0
5, 1, 9, 300, 204, 204,   0, 3.51285673381982
5, 1, 10, 300, 204, 2006, 0.0269508256324462,   0
5, 1, 10, 300, 204, 204,   0, 3.48590590818737
5, 1, 11, 300, 204, 2006, 0.0267440574499367,   0
5, 1, 11, 300, 204, 204,   0, 3.45916185073744
5, 1, 12, 300, 204, 2006, 0.0265388756040332,   0
5, 1, 12, 300, 204, 204,   0, 3.4326229751334
5, 1, 13, 300, 204, 2006, 0.0263352679242783,   0
5, 1, 13, 300, 204, 204,   0, 3.40628770720912
5, 1, 14, 300, 204, 2006, 0.0261332223335837,   0
5, 1, 14, 300, 204, 204,   0, 3.38015448487554
5, 1, 15, 300, 204, 2006, 0.0259327268475174,   0
5, 1, 15, 300, 204, 204,   0, 3.35422175802802
5, 1, 16, 300, 204, 2006, 0.0257337695735953,   0
5, 1, 16, 300, 204, 204,   0, 3.32848798845443
5, 1, 17, 300, 204, 2006, 0.0255363387105692,   0
5, 1, 17, 300, 204, 204,   0, 3.30295164974386
5, 1, 18, 300, 204, 2006, 0.0253404225477349,   0
5, 1, 18, 300, 204, 204,   0, 3.27761122719612
5, 1, 19, 300, 204, 2006, 0.025146009464228,   0
5, 1, 19, 300, 204, 204,   0, 3.2524652177319
5, 1, 1, 300, 205, 2006, 0.00277084544116912,   0
5, 1, 1, 300, 205, 205,   0, 0.298428084558831
5, 1, 2, 300, 205, 2006, 0.00274535536237352,   0
5, 1, 2, 300, 205, 205,   0, 0.295682729196457
5, 1, 3, 300, 205, 2006, 0.0027200997766707,   0
5, 1, 3, 300, 205, 205,   0, 0.292962629419787
5, 1, 4, 300, 205, 2006, 0.0026950765268679,   0
5, 1, 4, 300, 205, 205,   0, 0.290267552892919
5, 1, 5, 300, 205, 2006, 0.00267028347561749,   0
5, 1, 5, 300, 205, 205,   0, 0.287597269417301
5, 1, 6, 300, 205, 2006, 0.00264571850523376,   0
5, 1, 6, 300, 205, 205,   0, 0.284951550912068
5, 1, 7, 300, 205, 2006, 0.00262137951751285,   0
5, 1, 7, 300, 205, 205,   0, 0.282330171394555
5, 1, 8, 300, 205, 2006, 0.00259726443355257,   0
5, 1, 8, 300, 205, 205,   0, 0.279732906961002
5, 1, 9, 300, 205, 2006, 0.00257337119357587,   0
5, 1, 9, 300, 205, 205,   0, 0.277159535767426
5, 1, 10, 300, 205, 2006, 0.00254969775675407,   0
5, 1, 10, 300, 205, 205,   0, 0.274609838010672
5, 1, 11, 300, 205, 2006, 0.00252624210103292,   0
5, 1, 11, 300, 205, 205,   0, 0.272083595909639
5, 1, 12, 300, 205, 2006, 0.00250300222295985,   0
5, 1, 12, 300, 205, 205,   0, 0.269580593686679
5, 1, 13, 300, 205, 2006, 0.00247997613751283,   0
5, 1, 13, 300, 205, 205,   0, 0.267100617549167
5, 1, 14, 300, 205, 2006, 0.00245716187793088,   0
5, 1, 14, 300, 205, 205,   0, 0.264643455671236
5, 1, 15, 300, 205, 2006, 0.00243455749554583,   0
5, 1, 15, 300, 205, 205,   0, 0.26220889817569
5, 1, 16, 300, 205, 2006, 0.00241216105961628,   0
5, 1, 16, 300, 205, 205,   0, 0.259796737116074
5, 1, 17, 300, 205, 2006, 0.00238997065716229,   0
5, 1, 17, 300, 205, 205,   0, 0.257406766458911
5, 1, 18, 300, 205, 2006, 0.00236798439280234,   0
5, 1, 18, 300, 205, 205,   0, 0.255038782066109
5, 1, 19, 300, 205, 2006, 0.00234620038859107,   0
5, 1, 19, 300, 205, 205,   0, 0.252692581677518
5, 1, 1, 300, 206, 2006, 0.0272213959910441,   0
