Year, Market,  Pool, AmountEmittedOrRetained
1, 300, 204, 373.61014452937
2, 300, 204, 436.513993675809
3, 300, 204, 533.537870408349
4, 300, 204, 530.982334929226
5, 300, 204, 651.946575246141
6, 300, 204, 648.793443588094
7, 300, 204, 645.273796124106
8, 300, 204, 640.371011399019
9, 300, 204, 806.304486214648
10, 300, 204, 805.728308175433
11, 300, 204, 799.546717297643
12, 300, 204, 793.412551917249
13, 300, 204, 787.325448183285
14, 300, 204, 781.28504503627
15, 300, 204, 775.290984186793
16, 300, 204, 769.342910094257
17, 300, 204, 763.44046994579
18, 300, 204, 757.583313635322
19, 300, 204, 751.771093742815
1, 300, 205, 29.8428084558831
2, 300, 205, 34.8217910481595
3, 300, 205, 42.5189197307162
4, 300, 205, 42.2506060524381
5, 300, 205, 51.8495675250464
6, 300, 205, 51.5202466762705
7, 300, 205, 51.1627469414655
8, 300, 205, 50.6958984025406
9, 300, 205, 63.8762055320071
10, 300, 205, 63.7366795326416
11, 300, 205, 63.1503411684307
12, 300, 205, 62.5693967575896
13, 300, 205, 61.9937966790552
14, 300, 205, 61.4234917682478
15, 300, 205, 60.8584333128717
16, 300, 205, 60.2985730487543
17, 300, 205, 59.743863155724
18, 300, 205, 59.1942562535253
19, 300, 205, 58.649705397772
1, 300, 206, 147.877325400896
2, 300, 206, 171.236664901444
3, 300, 206, 207.869721675971
4, 300, 206, 204.721071103916
5, 300, 206, 250.511503972553
6, 300, 206, 246.715121012818
7, 300, 206, 242.832714749702
8, 300, 206, 238.462341720942
9, 300, 206, 301.774179477407
10, 300, 206, 298.539910950586
11, 300, 206, 293.143694479886
12, 300, 206, 287.845016566445
13, 300, 206, 282.642114165694
14, 300, 206, 277.533256100726
15, 300, 206, 272.516742486284
16, 300, 206, 267.590904163148
17, 300, 206, 262.754102142751
18, 300, 206, 258.004727061838
19, 300, 206, 253.341198646971
1, 300, 207, 367.899421164036
2, 300, 207, 424.261479171489
3, 300, 207, 513.409945554039
4, 300, 207, 503.197936337096
5, 300, 207, 614.831608718702
6, 300, 207, 602.609215987938
7, 300, 207, 590.281248341483
8, 300, 207, 576.846266020771
9, 300, 207, 731.906084744178
10, 300, 207, 720.713412284806
11, 300, 207, 704.252295198358
12, 300, 207, 688.167150545773
13, 300, 207, 672.449391104793
14, 300, 207, 657.090625785587
15, 300, 207, 642.082655151083
16, 300, 207, 627.41746703961
17, 300, 207, 613.087232287519
18, 300, 207, 599.084300549512
19, 300, 207, 585.401196214413
1, 300, 208, 119.371233823532
2, 300, 208, 139.287164192638
3, 300, 208, 170.075678922865
4, 300, 208, 169.002424209752
5, 300, 208, 207.398270100185
6, 300, 208, 206.080986705082
7, 300, 208, 204.650987765862
8, 300, 208, 202.783593610162
9, 300, 208, 255.504822128028
10, 300, 208, 254.946718130566
