Type, YearCreated, YearReported,  Market, FromPool, To_Gas/Pool, AmountEmitted, AmountRetained
5, 1, 1, 300, 204, 204, 0, 373.61014452937 
5, 1, 2, 300, 204, 204, 0, 370.743787423831 
5, 1, 3, 300, 204, 204, 0, 367.899421164036 
5, 1, 4, 300, 204, 204, 0, 365.076877035033 
5, 1, 5, 300, 204, 204, 0, 362.275987616264 
5, 1, 6, 300, 204, 204, 0, 359.496586771627 
5, 1, 7, 300, 204, 204, 0, 356.738509639626 
5, 1, 8, 300, 204, 204, 0, 354.001592623594 
5, 1, 9, 300, 204, 204, 0, 351.285673381982 
5, 1, 10, 300, 204, 204, 0, 348.590590818737 
5, 1, 11, 300, 204, 204, 0, 345.916185073744 
5, 1, 12, 300, 204, 204, 0, 343.26229751334 
5, 1, 13, 300, 204, 204, 0, 340.628770720912 
5, 1, 14, 300, 204, 204, 0, 338.015448487554 
5, 1, 15, 300, 204, 204, 0, 335.422175802802 
5, 1, 16, 300, 204, 204, 0, 332.848798845443 
5, 1, 17, 300, 204, 204, 0, 330.295164974386 
5, 1, 18, 300, 204, 204, 0, 327.761122719612 
5, 1, 19, 300, 204, 204, 0, 325.246521773189 
5, 1, 1, 300, 205, 205, 0, 29.8428084558831 
5, 1, 2, 300, 205, 205, 0, 29.5682729196457 
5, 1, 3, 300, 205, 205, 0, 29.2962629419787 
5, 1, 4, 300, 205, 205, 0, 29.0267552892919 
5, 1, 5, 300, 205, 205, 0, 28.7597269417301 
5, 1, 6, 300, 205, 205, 0, 28.4951550912068 
5, 1, 7, 300, 205, 205, 0, 28.2330171394555 
5, 1, 8, 300, 205, 205, 0, 27.9732906961002 
5, 1, 9, 300, 205, 205, 0, 27.7159535767426 
5, 1, 10, 300, 205, 205, 0, 27.4609838010672 
5, 1, 11, 300, 205, 205, 0, 27.2083595909639 
5, 1, 12, 300, 205, 205, 0, 26.9580593686679 
5, 1, 13, 300, 205, 205, 0, 26.7100617549167 
5, 1, 14, 300, 205, 205, 0, 26.4643455671236 
5, 1, 15, 300, 205, 205, 0, 26.220889817569 
5, 1, 16, 300, 205, 205, 0, 25.9796737116074 
5, 1, 17, 300, 205, 205, 0, 25.7406766458911 
5, 1, 18, 300, 205, 205, 0, 25.5038782066109 
5, 1, 19, 300, 205, 205, 0, 25.2692581677518 
5, 1, 1, 300, 206, 206, 0, 147.877325400896 
5, 1, 2, 300, 206, 206, 0, 145.204389455981 
5, 1, 3, 300, 206, 206, 0, 142.579767791476 
5, 1, 4, 300, 206, 206, 0, 140.002587109351 
5, 1, 5, 300, 206, 206, 0, 137.471989896755 
5, 1, 6, 300, 206, 206, 0, 134.98713414069 
5, 1, 7, 300, 206, 206, 0, 132.547193047845 
5, 1, 8, 300, 206, 206, 0, 130.151354769497 
5, 1, 9, 300, 206, 206, 0, 127.798822131382 
5, 1, 10, 300, 206, 206, 0, 125.488812368447 
5, 1, 11, 300, 206, 206, 0, 123.220556864401 
5, 1, 12, 300, 206, 206, 0, 120.993300895966 
5, 1, 13, 300, 206, 206, 0, 118.806303381764 
5, 1, 14, 300, 206, 206, 0, 116.658836635725 
5, 1, 15, 300, 206, 206, 0, 114.550186124971 
5, 1, 16, 300, 206, 206, 0, 112.479650232061 
5, 1, 17, 300, 206, 206, 0, 110.446540021542 
5, 1, 18, 300, 206, 206, 0, 108.45017901072 
5, 1, 19, 300, 206, 206, 0, 106.489902944566 
5, 1, 1, 300, 207, 207, 0, 367.899421164036 
5, 1, 2, 300, 207, 207, 0, 359.496586771627 
5, 1, 3, 300, 207, 207, 0, 351.285673381982 
5, 1, 4, 300, 207, 207, 0, 343.26229751334 
5, 1, 5, 300, 207, 207, 0, 335.422175802802 
5, 1, 6, 300, 207, 207, 0, 327.761122719612 
5, 1, 7, 300, 207, 207, 0, 320.275048330669 
5, 1, 8, 300, 207, 207, 0, 312.959956117074 
5, 1, 9, 300, 207, 207, 0, 305.811940840543 
5, 1, 10, 300, 207, 207, 0, 298.82718645856 
5, 1, 11, 300, 207, 207, 0, 292.001964087141 
5, 1, 12, 300, 207, 207, 0, 285.332630010129 
5, 1, 13, 300, 207, 207, 0, 278.815623733958 
5, 1, 14, 300, 207, 207, 0, 272.447466086849 
5, 1, 15, 300, 207, 207, 0, 266.224757361415 
5, 1, 16, 300, 207, 207, 0, 260.144175499695 
5, 1, 17, 300, 207, 207, 0, 254.202474319635 
5, 1, 18, 300, 207, 207, 0, 248.396481782082 
5, 1, 19, 300, 207, 207, 0, 242.723098297357 
5, 1, 1, 300, 208, 208, 0, 119.371233823532 
5, 1, 2, 300, 208, 208, 0, 118.273091678583 
5, 1, 3, 300, 208, 208, 0, 117.185051767915 
5, 1, 4, 300, 208, 208, 0, 116.107021157168 
5, 1, 5, 300, 208, 208, 0, 115.038907766921 
5, 1, 6, 300, 208, 208, 0, 113.980620364827 
5, 1, 7, 300, 208, 208, 0, 112.932068557822 
5, 1, 8, 300, 208, 208, 0, 111.893162784401 
5, 1, 9, 300, 208, 208, 0, 110.86381430697 
5, 1, 10, 300, 208, 208, 0, 109.843935204269 
5, 1, 11, 300, 208, 208, 0, 108.833438363856 
5, 1, 12, 300, 208, 208, 0, 107.832237474672 
5, 1, 13, 300, 208, 208, 0, 106.840247019667 
5, 1, 14, 300, 208, 208, 0, 105.857382268494 
5, 1, 15, 300, 208, 208, 0, 104.883559270276 
5, 1, 16, 300, 208, 208, 0, 103.918694846429 
5, 1, 17, 300, 208, 208, 0, 102.962706583565 
5, 1, 18, 300, 208, 208, 0, 102.015512826444 
5, 1, 19, 300, 208, 208, 0, 101.077032671007 
5, 1, 1, 300, 209, 209, 0, 584.53132326977 
5, 1, 2, 300, 209, 209, 0, 413.3260625 
5, 1, 3, 300, 209, 209, 0, 292.265661634885 
5, 1, 4, 300, 209, 209, 0, 206.66303125 
5, 1, 5, 300, 209, 209, 0, 146.132830817442 
5, 1, 6, 300, 209, 209, 0, 103.331515625 
5, 1, 7, 300, 209, 209, 0, 73.0664154087212 
5, 1, 8, 300, 209, 209, 0, 51.6657578125 
5, 1, 9, 300, 209, 209, 0, 36.5332077043606 
5, 1, 10, 300, 209, 209, 0, 25.83287890625 
5, 1, 11, 300, 209, 209, 0, 18.2666038521803 
5, 1, 12, 300, 209, 209, 0, 12.916439453125 
5, 1, 13, 300, 209, 209, 0, 9.13330192609015 
5, 1, 14, 300, 209, 209, 0, 6.4582197265625 
5, 1, 15, 300, 209, 209, 0, 4.56665096304508 
5, 1, 16, 300, 209, 209, 0, 3.22910986328125 
5, 1, 17, 300, 209, 209, 0, 2.28332548152254 
5, 1, 18, 300, 209, 209, 0, 1.61455493164063 
5, 1, 19, 300, 209, 209, 0, 1.14166274076127 
5, 1, 1, 300, 210, 210, 0, 207.028255561254 
5, 1, 2, 300, 210, 210, 0, 203.286145238373 
5, 1, 3, 300, 210, 210, 0, 199.611674908066 
5, 1, 4, 300, 210, 210, 0, 196.003621953092 
5, 1, 5, 300, 210, 210, 0, 192.460785855457 
5, 1, 6, 300, 210, 210, 0, 188.981987796966 
5, 1, 7, 300, 210, 210, 0, 185.566070266982 
5, 1, 8, 300, 210, 210, 0, 182.211896677296 
5, 1, 9, 300, 210, 210, 0, 178.918350983935 
5, 1, 10, 300, 210, 210, 0, 175.684337315826 
5, 1, 11, 300, 210, 210, 0, 172.508779610161 
5, 1, 12, 300, 210, 210, 0, 169.390621254353 
5, 1, 13, 300, 210, 210, 0, 166.328824734469 
5, 1, 14, 300, 210, 210, 0, 163.322371290015 
5, 1, 15, 300, 210, 210, 0, 160.370260574959 
5, 1, 16, 300, 210, 210, 0, 157.471510324885 
5, 1, 17, 300, 210, 210, 0, 154.625156030159 
5, 1, 18, 300, 210, 210, 0, 151.830250615008 
5, 1, 19, 300, 210, 210, 0, 149.085864122393 
5, 1, 1, 301, 204, 204, 0, 1494.44057811748 
5, 1, 2, 301, 204, 204, 0, 1482.97514969533 
5, 1, 3, 301, 204, 204, 0, 1471.59768465614 
5, 1, 4, 301, 204, 204, 0, 1460.30750814013 
5, 1, 5, 301, 204, 204, 0, 1449.10395046506 
5, 1, 6, 301, 204, 204, 0, 1437.98634708651 
5, 1, 7, 301, 204, 204, 0, 1426.95403855851 
5, 1, 8, 301, 204, 204, 0, 1416.00637049437 
5, 1, 9, 301, 204, 204, 0, 1405.14269352793 
5, 1, 10, 301, 204, 204, 0, 1394.36236327495 
5, 1, 11, 301, 204, 204, 0, 1383.66474029497 
5, 1, 12, 301, 204, 204, 0, 1373.04919005336 
5, 1, 13, 301, 204, 204, 0, 1362.51508288365 
5, 1, 14, 301, 204, 204, 0, 1352.06179395022 
5, 1, 15, 301, 204, 204, 0, 1341.68870321121 
5, 1, 16, 301, 204, 204, 0, 1331.39519538177 
5, 1, 17, 301, 204, 204, 0, 1321.18065989754 
5, 1, 18, 301, 204, 204, 0, 1311.04449087845 
5, 1, 19, 301, 204, 204, 0, 1300.98608709276 
5, 1, 1, 301, 205, 205, 0, 119.371233823532 
5, 1, 2, 301, 205, 205, 0, 118.273091678583 
5, 1, 3, 301, 205, 205, 0, 117.185051767915 
5, 1, 4, 301, 205, 205, 0, 116.107021157168 
5, 1, 5, 301, 205, 205, 0, 115.038907766921 
5, 1, 6, 301, 205, 205, 0, 113.980620364827 
5, 1, 7, 301, 205, 205, 0, 112.932068557822 
5, 1, 8, 301, 205, 205, 0, 111.893162784401 
5, 1, 9, 301, 205, 205, 0, 110.86381430697 
